platform,week,post_id,post_name,asset_type,slide_number,kicker,headline,support_copy,caption_cta,primary_asset,reuse_notes
instagram,1,ig-01,The Ministry Gap,carousel,1,BEYOND SUNDAY,What happens after Sunday?,"A church can preach a faithful message on Sunday and still struggle to help people carry it into the week.","Follow for launch updates","Brand cover or Sunday formation screenshot","Use as cover template for church-problem series"
instagram,1,ig-01,The Ministry Gap,carousel,2,THE TENSION,The sermon lands.,"But by Tuesday, many people are already back in noise, pressure, distraction, and routine.","Follow for launch updates","Text-only slide","Keep layout minimal"
instagram,1,ig-01,The Ministry Gap,carousel,3,THE MINISTRY NEED,"Churches want formation, not just attendance.","The challenge is not only gathering people. It's helping the Word stay with them Monday through Saturday.","Follow for launch updates","Text-only slide","Can be reused as quote card"
instagram,1,ig-01,The Ministry Gap,carousel,4,THE RESPONSE,That's the gap My Kingdom Pal is built for.,"A church-led rhythm that connects Sunday teaching to weekday reflection, prayer, and care.","Follow for launch updates","Monday formation or Sunday summary screen","Use device frame"
instagram,1,ig-01,The Ministry Gap,carousel,5,LAUNCH,Launching soon for churches,"Follow along as we get closer to launch.","Follow for launch updates","Logo lockup","Use as closing CTA style"
linkedin,1,li-01,Product Thesis for Churches,single_image,1,FOR CHURCHES,"Strong on Sunday. Under-supported the rest of the week.","My Kingdom Pal is built to help churches create a quieter, steadier rhythm of weekday discipleship, private reflection, and care connection.","Comment with your weekday discipleship approach","Static brand image or church-success screen","Use founder-note layout"
instagram,2,ig-02,How MKP Supports Churches,carousel,1,HOW IT WORKS,How My Kingdom Pal supports churches through the week,"A simple rhythm from Sunday teaching to weekday formation.","Share with your ministry team","Brand cover with subtle UI fragment","Shared cover template with LinkedIn carousel"
instagram,2,ig-02,How MKP Supports Churches,carousel,2,SUNDAY,Sunday becomes the anchor,"The week's rhythm starts from the message your church is already preaching.","Share with your ministry team","Sunday summary or Monday formation screen","Lead with sermon-linked context"
instagram,2,ig-02,How MKP Supports Churches,carousel,3,WEEKDAY FORMATION,Members receive gentle weekday prompts,"Not more noise. Not more pressure. Just a faithful next step each day.","Share with your ministry team","Monday or Wednesday formation screen","Keep copy short"
instagram,2,ig-02,How MKP Supports Churches,carousel,4,TRUST,Reflection stays private by default,"People need honest space with God. Private journaling is part of the design, not an afterthought.","Share with your ministry team","Reflection entry or Journey History screen","Avoid making it look like public community feed"
instagram,2,ig-02,How MKP Supports Churches,carousel,5,CARE,Prayer and support requests create a path for care,"When members choose to share, the app can support real church follow-up.","Share with your ministry team","Prayer submission or care support request screen","Always keep conditional language"
instagram,2,ig-02,How MKP Supports Churches,carousel,6,FOR CHURCHES,Built for churches. Launching soon.,"Follow the launch as we get closer.","Share with your ministry team","Logo lockup","Closing CTA"
linkedin,2,li-02,What Churches Actually Need,carousel,1,BEYOND SUNDAY,What churches need beyond Sunday,"A better bridge between sermon, formation, and care.","Comment with what your church needs beyond Sunday","Brand cover","Can reuse Instagram cover structure"
linkedin,2,li-02,What Churches Actually Need,carousel,2,SERMON TO WEEKDAY,A way to extend Sunday teaching into the week,"Not a disconnected devotional library. A rhythm that begins with what your church is already teaching.","Comment with what your church needs beyond Sunday","Sunday summary or Monday formation screen","Strategic framing"
linkedin,2,li-02,What Churches Actually Need,carousel,3,TRUST,A private place for member reflection,"Honest reflection is more likely when people know every note is not being turned into a church workflow.","Comment with what your church needs beyond Sunday","Reflection entry screen","Keep no-admin-tooling implication"
linkedin,2,li-02,What Churches Actually Need,carousel,4,CARE PATH,A pathway for prayer and pastoral support,"When a member chooses to reach out, the app supports care connection instead of leaving that moment buried.","Comment with what your church needs beyond Sunday","Care support request screen","Use conditional care language"
linkedin,2,li-02,What Churches Actually Need,carousel,5,PRODUCT CONVICTION,A discipleship rhythm without noise or gimmicks,"No streak logic. No engagement hacks. No pressure to perform spirituality.","Comment with what your church needs beyond Sunday","Text-led slide or quiet UI crop","Can become quote image"
linkedin,2,li-02,What Churches Actually Need,carousel,6,LAUNCH,My Kingdom Pal is launching soon,"Built for churches that want a steadier weekday formation rhythm.","Comment with what your church needs beyond Sunday","Logo lockup","Closing slide"
instagram,3,ig-03,What We're Building Toward,carousel,1,PRODUCT CONVICTIONS,"Built for spiritual formation, not engagement hacks","We are not trying to turn discipleship into a metric.","Comment with your ministry perspective","Text-led cover","Keep bold and sparse"
instagram,3,ig-03,What We're Building Toward,carousel,2,CHURCH-LED,"Church-led, not platform-led","The goal is to support the local church's voice, not replace it with a generic content stream.","Comment with your ministry perspective","Text-only slide","Keep line breaks intentional"
instagram,3,ig-03,What We're Building Toward,carousel,3,PRIVATE BY DEFAULT,Private by default,"Reflection and mood notes are designed to remain on the member's device. Honest space matters.","Comment with your ministry perspective","Reflection or mood screen with privacy framing","Do not imply leader access"
instagram,3,ig-03,What We're Building Toward,carousel,4,WHY IT MATTERS,Designed to support discipleship and care,"A quieter product can still create meaningful continuity for churches.","Comment with your ministry perspective","Logo or subtle app montage","Can also be quote card"
linkedin,3,li-03,Why We're Building It This Way,single_image,1,PRODUCT PHILOSOPHY,"Not every ministry problem should be solved with more engagement mechanics.","My Kingdom Pal is being built around church trust, weekly rhythm, private reflection, and a clearer path for care when members choose to share.","Connect if you're thinking about weekday formation","Static founder-note image","Use editorial layout"
